winner,lg,year,w-l-t,totalWins
Cleveland Bulldogs,NFL,1924,(NFL7-1-1),1
Chicago Cardinals,NFL,1925,(NFL11-2-1),1
Frankford Yellow Jackets,NFL,1926,(NFL14-1-2),1
New York Giants,NFL,1927,(NFL11-1-1),1
Providence Steam Roller,NFL,1928,(NFL8-1-2),1
Washington Redskins,NFL,1929,(),0
Chicago Bears,NFL,1929,(),0
Green Bay Packers,NFL,1929,(NFL12-0-1),1
Washington Redskins,NFL,1930,(),0
Chicago Bears,NFL,1930,(),0
Green Bay Packers,NFL,1930,(NFL10-3-1),2
Washington Redskins,NFL,1931,(),0
Chicago Bears,NFL,1931,(),0
Green Bay Packers,NFL,1931,(NFL12-2),3
Green Bay Packers,NFL,1932,(NFL10-3-1),3
Washington Redskins,NFL,1932,(),0
Chicago Bears,NFL,1932,(NFL7-1-6),1
Green Bay Packers,NFL,1933,(NFL10-3-1),3
Washington Redskins,NFL,1933,(),0
Chicago Bears,NFL,1933,(NFL10-2-1),2
New York Giants,NFL,1934,(NFL8-5),2
Detroit Lions,NFL,1935,(NFL7-3-2),1
Green Bay Packers,NFL,1936,(NFL10-1-1),4
Washington Redskins,NFL,1937,(NFL8-3),1
New York Giants,NFL,1938,(NFL8-2-1),3
Green Bay Packers,NFL,1939,(NFL9-2),5
Chicago Bears,NFL,1940,(NFL8-3),2
Chicago Bears,NFL,1941,(NFL10-1),3
Washington Redskins,NFL,1942,(NFL10-1),2
Chicago Bears,NFL,1943,(NFL8-1-1),4
Green Bay Packers,NFL,1944,(NFL8-2),6
